pX,pY,Size,System
78053.939354,93296.582099,110,PS-2-CAP-EME-
83790.196626,93396.582099,110,PS-2-CAP-EME-
71277.696626,93396.582099,110,PS-2-CAP-EME-
69970.73265,88771.353617,110,PS-2-CAP-EME-
68406.488351,85510.614005,110,PS-2-CAP-EME-
67828.122338,83412.348176,110,PS-2-CAP-EME-
96350.0,75803.729497,110,PS-2-CAP-EME-
96350.0,58430.0,110,PS-2-CAP-EME-
103675.0,33436.954499,110,PS-2-CAP-EME-
103625.0,27025.0,110,PS-2-CAP-EME-
107392.141861,38221.607508,110,PS-2-CAP-EME-
128865.795607,30587.5,50,PS-2-CAP-AR-
124075.0,12012.033455,110,PS-2-CAP-EME-
130477.372553,30863.449293,110,PS-2-CAP-EME-
123925.0,9650.0,110,PS-2-CAP-EME-
124075.0,34686.621339,110,PS-2-CAP-EME-
123875.0,28350.0,110,PS-2-CAP-EME-
117408.802255,38221.607508,110,PS-2-CAP-EME-
197750.069498,47365.011813,110,PS-2-CAP-EME-
212879.189375,47041.715316,110,PS-2-CAP-EME-
219095.46213,47425.0,110,PS-2-CAP-EME-
220710.289324,47041.715316,110,PS-2-CAP-EME-
184450.0,68352.707356,110,PS-2-CAP-EME-
172460.598044,68317.596399,110,PS-2-CAP-EME-
161243.127632,68352.707356,110,PS-2-CAP-EME-
160546.498663,77876.046518,110,PS-2-CAP-EME-
162065.0,62120.125039,50,PS-2-CAP-AR-
170837.5,65025.0,50,PS-2-CAP-AR-
164475.0,64839.99845,50,PS-2-CAP-AR-
163008.250065,65169.690937,110,PS-2-CAP-EME-
162265.47898,66791.087365,110,PS-2-CAP-EME-
162265.47898,63583.989741,110,PS-2-CAP-EME-
170875.0,66331.149687,110,PS-2-CAP-EME-
168675.019777,68352.707356,110,PS-2-CAP-EME-
160055.986758,68352.707356,110,PS-2-CAP-EME-
168087.5,79950.0,50,PS-2-CAP-AR-
168435.0,79325.0,50,PS-2-CAP-AR-
162107.694878,73273.746522,110,PS-2-CAP-EME-
166529.458668,79325.0,110,PS-2-CAP-EME-
162107.694878,78448.623548,110,PS-2-CAP-EME-
