ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,68466.085218,142508.423659,68838.559531,142508.423659,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,64823.371182,138795.392495,64425.691882,138795.392495,0,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,64823.371182,138303.928483,64275.691882,138303.928483,0,branch,non-critical
ZON-4, T3,SHT-TNOR-SI-ZONE2,84601.128818,138108.82413,85231.105986,138108.82413,0,branch,non-critical
ZON-4, T4,SHT-TNOR-SR-ZONE2,84601.128818,138600.288142,85381.105986,138600.288142,0,branch,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,52076.628818,138304.33528,53175.229561,138304.33528,0,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,52076.628818,137812.871268,52462.466891,137812.871268,0,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,52462.466891,138144.196851,53325.229561,138144.196851,20,branch,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,58294.015062,133746.179164,58294.015062,134803.056626,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,58144.015062,133896.179164,58144.015062,134803.056626,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,57994.015062,134046.179164,57994.015062,134803.056626,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,174826.939606,62902.168317,175400.0,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,174709.805076,62822.087864,175328.713724,32,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,174826.939606,65628.295018,174826.939606,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,174709.805076,64525.000003,174706.939606,32,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,174706.939606,65778.295018,174706.939606,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62982.24877,174946.939606,65538.295018,174946.939606,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,175808.092085,64525.000003,174706.939606,20,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,65538.295018,174390.144116,65538.295018,174946.939606,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,65658.295018,174390.15771,65658.295018,174826.939606,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62743.317928,174916.939606,62743.22277,174491.398036,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,177173.084896,62902.168317,176600.024502,0,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,177290.219425,62822.087864,176665.625842,0,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,177173.084896,64199.108223,177173.084896,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,177290.219425,64525.000003,177293.084896,25,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62982.24877,177053.084896,64049.108223,177053.084896,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,176191.907915,64525.000003,177293.084896,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,64049.108223,177053.084896,64049.108223,178176.682073,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,64199.108223,177173.084896,64199.108223,178176.682073,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64349.108223,177292.788925,64349.108223,178176.682073,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,166826.939606,62902.168317,167400.0,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,166709.805076,62822.087864,167313.687201,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,166826.939606,65628.295018,166826.939606,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,166709.805076,64525.000003,166706.939606,32,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,166706.939606,65778.295018,166706.939606,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62982.24877,166946.939606,65538.295018,166946.939606,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,167838.092085,64525.000003,166706.939606,20,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,65538.295018,166390.144116,65538.295018,166946.939606,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,65658.295018,166390.15771,65658.295018,166826.939606,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62743.317928,166916.939606,62743.22277,166491.398036,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,169173.084896,62902.168317,168600.024502,0,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,169290.219425,62822.087864,168677.118906,0,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,169173.084896,65659.182074,169173.084896,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,169290.219425,64525.000003,169293.084896,32,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,65962.182074,169293.084896,65539.182074,169293.084896,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,65539.182074,169293.084896,64525.000003,169293.084896,20,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,62982.24877,169053.084896,65779.182074,169053.084896,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,64525.000003,168161.907915,64525.000003,169293.084896,20,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,65959.444338,168800.920498,65959.444338,169263.086042,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,65779.182074,169609.880386,65779.182074,169053.084896,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,65659.182074,169609.866792,65659.182074,169173.084896,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,65103.226953,159157.86801,65103.226953,160005.491882,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,65253.226953,159024.036665,65253.226953,159847.491882,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,65254.106946,160155.491882,65254.106946,160839.394587,40,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,64375.000003,159157.86801,65103.226953,159157.86801,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,63004.599783,159024.036665,65253.226953,159024.036665,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,63004.599783,159514.999992,63004.599783,159024.036665,40,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,63004.601897,160485.88,63004.601897,160839.394587,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,63004.601897,160839.394587,65254.106946,160839.394587,0,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,62902.168317,158826.939606,62902.168317,159400.0,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62822.087864,158709.805076,62822.087864,159315.904212,32,error,non-critical
