ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-2, T4,SHT-TNOR-SR-,278750.931419,76718.002005,278750.931419,77699.907876,20,main,critical
ZON-2, T4,SHT-TNOR-SR-,278750.931419,77699.907876,278750.931419,80520.201928,20,main,critical
ZON-2, T3,SHT-TNOR-SI-,278900.931419,76568.002005,278900.931419,77549.907876,20,main,critical
ZON-2, T3,SHT-TNOR-SI-,278900.931419,77549.907876,278900.931419,80670.201928,20,main,critical
ZON-2, B1,SHT-TNOR-SO-,279050.931419,76418.002005,279050.931419,77399.907876,25,main,critical
ZON-2, B1,SHT-TNOR-SO-,279050.931419,77399.907876,279050.931419,80820.201928,20,main,critical
ZON-2, T3,SHT-TNOR-SI-,277856.22748,80670.201928,278900.931419,80670.201928,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,277856.22748,80820.201928,279050.931419,80820.201928,32,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,277856.22748,80520.201928,278750.931419,80520.201928,25,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,233474.737773,79682.29543,235023.911754,79682.29543,25,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,233294.737773,79532.29543,234873.911754,79532.29543,32,main,non-critical
ZON-2, B1,SHT-TNOR-SO-,233114.737773,79382.29543,234723.911754,79382.29543,40,main,non-critical
ZON-2, B1,SHT-TNOR-SO-,233114.737773,79382.29543,233114.737773,79911.202101,32,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,233294.737773,79532.29543,233294.737773,79911.202101,25,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,285228.289356,65811.301011,285228.289356,66301.682073,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,285378.289356,65661.301011,285378.289356,66301.682073,32,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,279985.714857,68085.029158,280423.481128,68085.029158,32,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,274424.801927,65319.860867,274424.801927,65670.314912,32,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,274424.801927,65319.860867,275071.37044,65319.860867,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,274951.370289,65439.860867,274951.370289,67180.890966,25,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,274801.370289,65559.860867,274801.370289,67330.890966,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,275101.370289,65319.956025,275101.370289,67030.890966,32,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,280926.132764,65811.301011,280926.132764,65451.011704,20,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,280776.132764,65961.301011,280776.132764,65451.011704,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,278817.900784,65811.301011,285228.289356,65811.301011,25,branch,critical
ZON-2, T4,SHT-TNOR-SR-,278667.900784,65961.301011,285078.289356,65961.301011,20,branch,critical
ZON-2, B1,SHT-TNOR-SO-,278967.900784,65661.301011,285378.289356,65661.301011,20,branch,critical
ZON-2, T3,SHT-TNOR-SI-,274951.370289,67180.890966,277162.417634,67180.890966,25,main,critical
ZON-2, T4,SHT-TNOR-SR-,274801.370289,67330.890966,277012.417634,67330.890966,25,main,critical
ZON-2, B1,SHT-TNOR-SO-,275101.370289,67030.890966,277312.417634,67030.890966,25,main,critical
ZON-2, T4,SHT-TNOR-SR-,277012.417634,69657.500168,278050.491882,69657.500168,32,error,critical
ZON-2, T3,SHT-TNOR-SI-,277162.417634,69507.500168,277930.491882,69507.500168,40,error,critical
ZON-2, B1,SHT-TNOR-SO-,277312.417634,69357.500168,277810.491882,69357.500168,40,error,critical
ZON-2, T3,SHT-TNOR-SI-,277162.417634,67180.890966,278817.900784,67180.890966,40,main,critical
ZON-2, T3,SHT-TNOR-SI-,278817.900784,67180.890966,280105.728451,67180.890966,32,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,277012.417634,67330.890966,278667.900784,67330.890966,32,main,critical
ZON-2, T4,SHT-TNOR-SR-,278667.900784,67330.890966,280225.714857,67330.890966,25,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,277312.417634,67030.890966,278967.900784,67030.890966,40,main,critical
ZON-2, B1,SHT-TNOR-SO-,278967.900784,67030.890966,279985.714857,67030.890966,32,error,non-critical
