ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-1, B1,SHT-TNOR-SO-,71230.493246,116168.206991,71230.493246,119100.000008,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,71080.493246,116048.206991,71080.493246,119200.000008,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-,70930.493246,115928.206991,70929.900588,119300.000008,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-,70929.900588,119300.000008,72289.948415,119300.000008,25,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,71080.493246,119200.000008,72469.948415,119200.000008,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,71230.493246,119100.000008,72619.948415,119100.000008,32,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,71764.922166,117900.0,72867.035486,117900.0,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,75650.581941,116514.387816,75650.581941,117223.552312,32,branch,non-critical
ZON-1, B1,SHT-TNOR-SO-,77820.360448,115999.194301,78190.719336,115999.194301,32,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,77642.940789,116364.387816,78070.73293,116364.387816,25,main,non-critical
ZON-1, T3,SHT-TNOR-SI-,74918.447154,116364.387816,77642.940789,116364.387816,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,77492.940789,116214.387816,77950.719336,116214.387816,25,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,74918.447154,116214.387816,77492.940789,116214.387816,20,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,77792.940789,116514.387816,78190.719336,116514.387816,32,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,75650.581941,116514.387816,77792.940789,116514.387816,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,74918.447154,116514.387816,75650.581941,116514.387816,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-,77642.940789,116364.387816,77642.940789,116861.999992,25,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-,77492.940789,116214.387816,77492.940789,116861.999992,25,branch,non-critical
ZON-1, T3,SHT-TNOR-SI-,52879.937053,135242.236224,52879.937053,138223.712552,25,error,non-critical
ZON-1, T4,SHT-TNOR-SR-,53029.937053,135392.236224,53029.937053,138073.712552,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,52729.937053,135092.236224,52729.937053,138373.712552,32,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,54705.428724,134191.801143,56507.909009,134191.801143,25,main,non-critical
ZON-1, T3,SHT-TNOR-SI-,56507.909009,134191.801143,58246.918359,134191.801143,25,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,54705.428724,134041.801143,56657.909009,134041.801143,25,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,56657.909009,134041.801143,58396.918359,134041.801143,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,54705.428724,134341.801143,56357.909009,134341.801143,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,56357.909009,134341.801143,58096.918359,134341.801143,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,58096.918359,132997.608988,58874.051224,132997.608988,25,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,58246.918359,133147.608988,58874.051224,133147.608988,25,error,non-critical
ZON-1, T4,SHT-TNOR-SR-,58396.918359,133297.608988,58882.051224,133297.608988,25,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,52879.937053,135242.236224,58246.918359,135242.236224,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-,53029.937053,135392.236224,58396.918359,135392.236224,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-,52729.937053,135092.236224,58096.918359,135092.236224,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-,58246.918359,133147.608988,58246.918359,134191.801143,25,main,non-critical
ZON-1, T3,SHT-TNOR-SI-,58246.918359,134191.801143,58246.918359,135242.236224,25,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,58396.918359,133297.608988,58396.918359,134041.801143,25,main,non-critical
ZON-1, T4,SHT-TNOR-SR-,58396.918359,134041.801143,58396.918359,135392.236224,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,58096.918359,132997.608988,58096.918359,134341.801143,32,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,58096.918359,134341.801143,58096.918359,135092.236224,32,main,non-critical
ZON-1, B1,SHT-TNOR-SO-,78190.719336,115999.194301,78190.719336,116484.387816,20,error,non-critical
