ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-2, T4,SHT-TNOR-SR-,286006.370412,71120.398103,286380.73,71120.398103,0,error,non-critical
ZON-2, B1,SHT-TNOR-SO-ZONE2,273031.430411,71084.706637,273031.430411,72377.12606,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-,277891.371874,69931.600016,277891.371874,73177.12606,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-,277691.371874,70081.597903,277691.371874,72977.12606,0,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-,278091.371874,69811.597903,278091.371874,73377.12606,20,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,277728.491882,69811.597903,278091.371874,69811.597903,20,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,269851.020412,73177.12606,269851.020412,74629.599783,20,branch,non-critical
ZON-2, T4,SHT-TNOR-SR-,270051.020412,72977.12606,270051.020412,74479.601897,0,branch,non-critical
ZON-2, B1,SHT-TNOR-SO-,269651.020412,73377.12606,269651.020412,74479.599783,20,branch,non-critical
ZON-2, T3,SHT-TNOR-SI-,261851.020412,73177.12606,261851.020412,74629.599783,40,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,262051.020412,72977.12606,262051.020412,74479.601897,32,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,261651.020412,73377.12606,261651.020412,74479.599783,50,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,259691.334958,61979.641617,259691.334958,73177.12606,75,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,259491.334958,62129.641617,259491.334958,73377.12606,110,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,259891.334958,61829.641617,259891.334958,72977.12606,63,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,261851.020412,70970.400217,261851.020412,73177.12606,50,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,262051.020412,71120.398103,262051.020412,72977.12606,40,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,261651.020412,71120.400217,261651.020412,73377.12606,63,error,non-critical
ZON-2, T3,SHT-TNOR-SI-,241309.251014,61979.641617,244163.002007,61979.641617,75,main,critical
ZON-2, T3,SHT-TNOR-SI-,244163.002007,61979.641617,253370.769587,61979.641617,75,main,non-critical
ZON-2, T3,SHT-TNOR-SI-,253959.779218,61979.641617,259691.334958,61979.641617,75,error,non-critical
ZON-2, T4,SHT-TNOR-SR-,241509.251014,61829.641617,243963.002007,61829.641617,0,main,critical
ZON-2, T4,SHT-TNOR-SR-,243963.002007,61829.641617,253370.769587,61829.641617,63,main,non-critical
ZON-2, T4,SHT-TNOR-SR-,253959.779218,61829.641617,259891.334958,61829.641617,63,error,non-critical
ZON-2, B1,SHT-TNOR-SO-,241109.251014,62129.641617,244363.002007,62129.641617,110,main,critical
ZON-2, B1,SHT-TNOR-SO-,244363.002007,62129.641617,253370.769587,62129.641617,110,main,non-critical
ZON-2, B1,SHT-TNOR-SO-,253959.779218,62129.641617,259491.334958,62129.641617,110,error,non-critical
