StartX,StartY,EndX,EndY
24362.752424,128363.307046,24362.752424,130295.0
24362.752424,130405.0,24362.752424,131712.752424
24362.752424,131712.752424,24362.752424,132136.384635
24362.752424,132136.384635,24362.752424,132379.411166
24149.136944,132350.000115,24362.752424,132136.384635
20860.274469,132350.000115,24149.136944,132350.000115
261980.032589,70679.999998,262020.0,70680.0
269718.868607,74920.0,269862.5,74920.0
285625.0,70580.0,285625.141375,70580.141375
285625.141375,70580.141375,285725.0,70680.0
285725.0,70680.0,285725.28275,70680.0
285725.28275,70680.0,285862.5,70680.0
285987.5,70680.0,286012.5,70680.0
269980.032589,70679.999998,270020.0,70680.0
269725.0,70680.0,269862.532589,70680.0
269862.532589,70680.0,269870.032589,70680.0
293624.999998,70580.0,293624.999999,70580.000001
293624.999999,70580.000001,293724.999998,70680.0
293724.999998,70680.0,293862.532588,70680.0
293987.532589,74920.000001,294012.532589,74920.0
293987.532589,70680.0,294012.532589,70680.0
188404.967411,70759.967411,188404.967411,71658.711714
188404.967411,71658.711714,188404.967411,72378.710638
188404.967411,72378.710638,188404.967411,74014.653985
188404.967411,74014.653985,188404.967411,74857.5
196324.967411,70742.5,196324.967411,74857.500001
196811.096195,76546.32726,199306.828843,76546.32726
199306.828843,76546.32726,201424.979721,76546.32726
201424.979721,76546.32726,203625.0,76546.32726
203625.0,76546.32726,203872.00991,76546.32726
196324.967411,76060.198476,196811.096195,76546.32726
269987.5,74920.0,270012.5,74920.0
229820.563584,65987.713754,229820.563584,66200.0
229820.563584,66200.0,229820.563584,68533.063584
229820.563584,66200.0,229970.563584,66050.0
229970.563584,66050.0,231121.862316,66050.0
231121.862316,66050.0,231640.0,66050.0
225318.963611,66023.029583,227518.108878,66023.029583
224757.5,65775.000014,225018.963611,65775.000014
225018.963611,65775.000014,225168.963611,65925.000014
225168.963611,65696.527534,225168.963611,65925.000014
225168.963611,65925.000014,225168.963611,66173.029583
225168.963611,66173.029583,225168.963611,66436.273615
225168.963611,66173.029583,225318.963611,66023.029583
231271.862316,65660.0,231271.862316,65900.0
231121.862316,66050.0,231271.862316,65900.0
243443.044521,64747.002802,246775.0,64747.002802
246775.0,64747.002802,246975.0,64747.002802
246775.0,64747.002802,246975.0,64547.002802
239455.706093,57792.430912,245229.586435,57792.430912
246975.0,61685.0,246975.0,63127.0
246975.0,63127.0,246975.0,64547.002802
246975.0,63127.0,247125.0,62977.0
247125.0,62977.0,247215.021274,62977.0
256137.118134,68656.514471,256137.118134,74465.808378
203128.56655,65624.851439,203128.56655,65804.851439
203128.56655,65804.851439,203128.56655,67549.192954
203098.56655,67699.192954,203278.56655,67699.192954
203278.56655,67699.192954,204100.252424,67699.192954
203128.56655,67549.192954,203278.56655,67699.192954
203278.56655,65654.851439,204170.0,65654.851439
203128.56655,65804.851439,203278.56655,65654.851439
196324.967411,70424.41953,196474.967411,70274.41953
196324.967411,68619.352572,196324.967411,68822.273738
196324.967411,68822.273738,196324.967411,70424.41953
196324.967411,70424.41953,196324.967411,70617.5
196324.967411,68822.273738,196474.967411,68672.273738
196474.967411,70274.41953,197375.58047,70274.41953
197375.58047,70274.41953,198024.999802,70274.41953
198024.999802,70274.41953,198400.0,70274.41953
198400.0,70274.41953,198595.923584,70274.41953
198595.923584,70274.41953,198827.127608,70274.41953
198550.0,69923.158193,198550.0,70124.41953
198400.0,70274.41953,198550.0,70124.41953
196174.967411,70274.41953,196324.967411,70424.41953
194912.5,70274.41953,195062.5,70274.41953
195062.5,70274.41953,196174.967411,70274.41953
198024.999802,70274.999802,198223.483298,70076.516307
197375.58047,70274.41953,197673.483496,69976.516504
196174.967411,68672.273738,196324.967411,68822.273738
194912.5,70424.41953,194912.5,71165.0
194912.5,70424.41953,195062.5,70274.41953
194985.054929,68672.273738,195906.984776,68672.273738
195906.984776,68672.273738,196174.967411,68672.273738
195487.254165,68252.543126,195906.984776,68672.273738
219975.0,70330.032589,220280.773237,70635.805826
219877.168416,70083.17915,219975.0,70181.010734
213542.348382,70421.792552,213542.348382,71007.348382
212475.0,70174.41953,213294.975361,70174.41953
213294.975361,70174.41953,213488.979162,70174.41953
213294.975361,70174.41953,213542.348382,70421.792552
212325.0,70324.41953,212475.0,70174.41953
212325.0,68338.022689,212325.0,68562.173644
212325.0,68562.173644,212325.0,70324.41953
212325.0,70324.41953,212325.0,70617.5
212175.0,68412.173644,212325.0,68562.173644
211454.378219,70324.41953,211454.378219,71052.5
211454.378219,70324.41953,211604.378219,70174.41953
211395.014947,70174.41953,211604.378219,70174.41953
211604.378219,70174.41953,212175.0,70174.41953
212175.0,70174.41953,212325.0,70324.41953
212475.0,68412.173644,213019.846097,68412.173644
213019.846097,68412.173644,213890.045165,68412.173644
212325.0,68562.173644,212475.0,68412.173644
213019.846097,68400.687262,213162.745835,68257.787524
210759.954835,68412.173644,211641.640285,68412.173644
211641.640285,68412.173644,212175.0,68412.173644
211487.254165,68257.787524,211641.640285,68412.173644
219093.533942,70083.17915,219305.024639,70083.17915
219305.024639,70083.17915,219877.168416,70083.17915
219975.0,68335.088985,219975.0,68561.670073
219975.0,68561.670073,219975.0,70181.010734
219975.0,70181.010734,219975.0,70330.032589
219825.503571,68412.173644,219975.0,68561.670073
218709.954835,68412.173644,219591.640285,68412.173644
