ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-5,202850.000968,78510.488028,202850.000968,79506.659659,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,113951.287109,136087.028377,112922.26194,136087.028377,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-5,201000.000968,76339.510596,201000.000968,75605.568917,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,113564.538,137651.026434,111363.057613,137651.026434,160,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-5,201932.500968,76339.510596,201932.500968,75670.568917,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,102083.561783,143396.352149,102083.561783,142911.229417,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-5,202884.490234,76339.510596,202884.490234,75670.568917,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,103065.15203,140358.818728,103065.15203,139688.10353,160,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-3,139960.489684,38049.99699,140502.720249,38049.99699,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,105836.915109,143545.790955,105836.915109,143430.860394,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-3,139960.489684,39000.000666,140502.720249,39000.000666,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,110888.302897,141929.657152,112247.26234,141929.657152,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-3,139960.489684,40650.252691,140502.720249,40650.252691,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,110655.329898,144698.421277,110813.210926,144698.421277,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-3,141401.22047,38528.117296,140902.720249,38528.117296,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,110246.096993,145998.511981,112197.26234,145998.511981,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-3,137847.678976,38049.995054,137504.225758,38049.995054,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,110398.37058,147350.0,112197.00487,147350.0,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-3,137847.678976,38999.998729,137544.225758,38999.998729,300,250,HVAC-E-WC-TEF-KNL,main,non-critical
ZON-4,110417.189889,149450.0,112197.26234,149450.0,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-3,113229.815866,45850.903366,113229.815866,42775.685207,300,250,HVAC-E-WC-TEF-KNL,downbranch,non-critical
ZON-4,109450.824317,152933.863205,112172.26234,152933.863205,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,241365.001533,26229.932394,241365.001533,27179.932394,300,250,HVAC-S-AHU-B1-02-S-KNL,top,non-critical
ZON-4,110815.802237,152062.525569,111055.35029,152062.525569,125,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,246645.0,24850.0,246294.216072,24850.0,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
