ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-3,116975.0,46629.20894,117300.0,46304.20894,650,650,HVAC-S-AHU-11-S-KNL,main,non-critical
ZON-5,89542.497032,54278.385108,87374.680316,54278.385108,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-3,117000.0,43747.102116,117000.0,44397.102116,600,650,HVAC-R-AHU-11-R-KNL,main,non-critical
ZON-3,128687.766677,41675.438047,126519.949961,41675.438047,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-3,116950.0,46700.0,116950.0,47750.0,750,1050,HVAC-S-AHU-L1-15-S-KNL,main,non-critical
ZON-3,107276.412835,41675.438047,105108.596119,41675.438047,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-3,133900.86395,47750.0,133600.86395,47750.0,600,650,HVAC-R-AHU-14-R-KNL,main,non-critical
ZON-3,100372.971748,41675.438047,98205.155032,41675.438047,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-3,135977.58861,52529.572861,134231.771453,52529.572861,600,650,HVAC-S-AHU-L1-05-KNL,main,non-critical
ZON-5,89542.497032,49368.51223,87374.680316,49368.51223,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-3,132400.0,47925.0,132400.0,49870.385155,600,650,HVAC-R-AHU-L1-05-KNL,main,non-critical
ZON-5,106950.015738,57918.138831,104782.199022,57918.138831,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-3,132426.466012,53228.192002,132426.466012,55432.006436,600,650,HVAC-R-AHU-L1-05-KNL,main,non-critical
ZON-5,121672.386153,57918.138831,119504.569438,57918.138831,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-3,136437.58861,54004.0,136437.58861,54654.0,600,650,HVAC-S-AHU-L1-05-KNL,main,non-critical
ZON-2,299870.14079,75976.316595,299625.610198,75976.316595,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,136437.58861,54004.0,136437.58861,52989.572861,600,650,HVAC-S-AHU-L1-05-KNL,top,non-critical
ZON-2,298863.257373,74970.909732,298863.257373,74687.039124,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,136303.544305,55430.0,136303.544305,53228.0,600,650,HVAC-S-AHU-L1-05-KNL,bottom,non-critical
ZON-5,186296.031086,69444.329323,185597.610177,69444.329323,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,130517.006605,51058.360164,130517.006605,48490.360164,600,650,HVAC-S-AHU-L1-07-S-KNL,top,non-critical
ZON-5,184824.999979,70607.16872,184824.999979,70891.039329,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,129296.462007,46050.0,129296.462007,48899.360164,1150,650,HVAC-S-AHU-L1-07-S-KNL,main,non-critical
ZON-2,244172.217739,131490.757917,244172.217739,131300.610198,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,126731.110458,51060.304421,126731.110458,48490.360132,600,650,HVAC-R-AHU-L1-07-R-KNL,main,non-critical
ZON-2,243504.02361,130528.0,243220.153002,130528.0,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,126958.256157,50023.222453,128628.804628,50023.222453,600,650,HVAC-R-AHU-L1-07-R-KNL,top,non-critical
ZON-2,237948.683405,13854.85921,237948.683405,14099.389802,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,129428.804628,47303.483806,129428.804628,49223.222453,600,650,HVAC-R-AHU-L1-07-R-KNL,bottom,non-critical
ZON-2,239099.594317,15061.742627,239383.464925,15061.742627,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,116950.0,47750.0,116950.0,53619.980215,750,1050,HVAC-S-AHU-L1-15-S-KNL,top,non-critical
ZON-1,64451.316595,64449.293688,64501.316595,64399.197573,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,114650.724543,53173.804781,114650.724543,55069.804781,600,650,HVAC-S-AHU-L1-15-S-KNL,main,non-critical
ZON-1,63538.868984,65461.742627,63254.998376,65461.742627,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,113244.29933,55106.804812,113244.298652,53210.804812,600,650,HVAC-R-AHU-L1-15-R-KNL,main,non-critical
ZON-1,2524.100261,126376.316595,2813.688863,126376.316595,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,116374.524322,46629.20894,116374.524322,45979.20894,600,650,HVAC-S-AHU-11-S-KNL,top,non-critical
ZON-1,3586.299061,125561.210067,3586.299061,125277.339459,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,115476.271094,48479.999991,115476.271094,50681.999991,600,650,HVAC-S-AHU-11-S-KNL,bottom,non-critical
ZON-1,58974.239484,180949.097628,59258.110092,180949.097628,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,116700.0,44072.102116,114951.652481,44072.102116,600,650,HVAC-R-AHU-11-R-KNL,top,non-critical
ZON-4,116308.068464,119850.642307,116892.20619,119850.642307,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-3,113211.494677,50681.99996,113211.494677,48479.931781,600,650,HVAC-R-AHU-11-R-KNL,main,non-critical
ZON-4,117664.816387,120842.956141,117664.816387,121126.826749,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-3,113744.073579,49249.296471,113744.073579,49899.296471,600,650,HVAC-R-AHU-11-R-KNL,top,non-critical
ZON-4,116125.0,129700.0,116275.0,129550.0,300,0,HVAC-E-ELC-KNL,downbranch,non-critical
ZON-3,120161.547283,44417.184838,119111.547283,44417.184838,600,650,HVAC-R-AHU-L1-16-R-KNL,main,non-critical
ZON-3,121686.547283,44392.184838,120386.547283,44392.184838,600,650,HVAC-S-AHU-L1-16-S-KNL,main,non-critical
