ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-5,183408.190737,133666.809263,183911.661024,133163.338976,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,185797.287298,128907.152472,186397.287298,128907.152472,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,183323.657508,133450.82211,183624.17789,133751.342492,1150,700,HVAC-R-AHU-OT-R-KNL,top,non-critical
ZON-5,186812.5,128908.234212,187412.5,128908.234212,394,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,187827.712701,128907.152472,188427.712701,128907.152472,1150,700,HVAC-S-AHU-OT-S-KNL,bottom,non-critical
ZON-5,185797.287298,132592.847528,186397.287298,132592.847528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,185642.88863,128541.304944,188730.348146,128541.304944,700,300,HVAC-S-AHU-OT-S-KNL,bottom,non-critical
ZON-5,186812.5,132592.847528,187412.5,132592.847528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,187827.712701,132592.847528,188427.712701,132592.847528,1150,700,HVAC-S-AHU-OT-S-KNL,bottom,non-critical
ZON-5,190274.787298,112539.652472,190874.787298,112539.652472,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,185642.88863,132958.695056,188730.348146,132958.695056,700,500,HVAC-S-AHU-OT-S-KNL,bottom,non-critical
ZON-5,191290.0,112540.734212,191890.0,112540.734212,394,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,189265.348146,132423.695056,189265.348146,130787.340782,700,300,HVAC-S-AHU-OT-S-KNL,top,non-critical
ZON-5,190274.787298,116225.347528,190874.787298,116225.347528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,189615.348143,129096.822863,188915.348143,129096.822863,1150,700,HVAC-S-AHU-OT-S-KNL,bottom,non-critical
ZON-5,191290.0,116225.347528,191890.0,116225.347528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,190949.118369,133445.564978,190595.564978,133799.118369,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,190274.787298,102257.152472,190874.787298,102257.152472,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,190901.342492,133450.82211,190600.82211,133751.342492,1150,700,HVAC-R-AHU-OT-R-KNL,top,non-critical
ZON-5,191290.0,102258.234212,191890.0,102258.234212,394,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,189800.348146,129952.340782,196165.0,129952.340782,700,500,HVAC-S-AHU-OT-S-KNL,main,non-critical
ZON-5,190274.787298,105942.847528,190874.787298,105942.847528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,189094.649875,133695.0,185153.124356,133695.0,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,191290.0,105942.847528,191890.0,105942.847528,392,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,189376.885986,133578.093975,189858.244417,133096.735544,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,190324.202533,94622.70346,190924.202533,94622.70346,142,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,184870.888246,133578.093975,184456.133246,133163.338976,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,191339.415235,94623.785201,191939.415235,94623.785201,144,0,HVAC-S-AHU-OT-S-KNL,downbranch,non-critical
ZON-5,197125.0,132201.615509,189663.77039,132201.615509,1150,700,HVAC-R-AHU-OT-R-KNL,bottom,critical
ZON-5,190324.202533,98058.398517,190924.202533,98058.398517,142,0,HVAC-S-AHU-OT-S-KNL,downbranch,critical
ZON-5,183408.190737,127833.190737,183924.463092,128349.463093,1150,700,HVAC-R-AHU-OT-R-KNL,main,non-critical
ZON-5,191339.415235,98058.398517,191939.415235,98058.398517,142,0,HVAC-S-AHU-OT-S-KNL,downbranch,critical
ZON-5,183323.657508,128049.17789,183624.17789,127748.657508,1150,700,HVAC-R-AHU-OT-R-KNL,top,non-critical
ZON-5,190284.787298,85014.652472,190884.787298,85014.652472,277,0,HVAC-S-AHU-OT-S-KNL,downbranch,critical
