ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-5,199679.73349,79925.0,199679.73349,80767.735302,850,550,HVAC-R-AHU-4-R-KNL,main,critical
ZON-2,244301.316595,131545.14079,244301.316595,131300.610198,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,189762.5,71242.598925,189762.5,71595.828088,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-2,243481.409732,130500.0,243197.539124,130500.0,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-5,194600.0,70367.598925,194600.0,71495.828088,850,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-2,292806.578405,75319.73146,292806.578405,74792.981902,315,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-5,213761.940325,71242.700725,213761.940323,71545.828088,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-2,290515.396173,75259.991947,290515.396173,74678.727726,315,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,218888.059675,71242.700724,218888.059677,71545.828088,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-2,299765.565776,75976.316595,299625.610198,75976.316595,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,218887.5,74357.299275,218888.059677,71970.828088,850,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-2,298825.0,74970.909732,298825.0,74687.039124,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-5,213761.940325,74357.299275,213761.940323,71970.828088,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-2,237740.659857,14028.968914,237740.659857,14299.38998,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,210888.059675,74356.890388,210888.059677,71995.828088,850,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-2,238768.590268,15100.0,239408.465019,15100.0,100,0,HVAC-S-AHU-14-S-KNL,downbranch,critical
ZON-5,194887.5,74357.401075,194888.059677,71920.828088,850,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-5,186192.653411,69649.727069,185597.609798,69649.727069,100,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,190165.427007,74366.975606,190165.427007,71950.328501,850,550,HVAC-E-EF-L5-03-KNL,downbranch,critical
ZON-5,184825.011641,70629.269839,184825.011641,70913.140448,100,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-5,221391.379538,79301.532267,222164.79545,79301.532267,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-5,192790.541961,70828.881079,192790.541961,69815.68419,250,0,HVAC-S-AHU-14-S-KNL,downbranch,non-critical
ZON-5,221391.583933,76802.022214,222124.79545,76802.022214,850,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,193775.0,69750.120516,193775.0,70903.620391,200,0,HVAC-R-AHU-14-R-KNL,downbranch,non-critical
ZON-5,221567.66202,75650.244243,222124.79545,75650.244243,850,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,109114.68719,120565.61637,106946.870474,120565.61637,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
ZON-5,208690.528973,76650.0,208690.528973,73750.0,150,150,HVAC-S-AHU-4-S-KNL,main,critical
ZON-4,97894.524055,129183.14146,95726.707339,129183.14146,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-5,206165.043968,78080.106088,206847.711528,78080.106088,850,550,HVAC-E-EF-L5-03-KNL,main,critical
ZON-4,97894.524055,123650.721599,95726.707339,123650.721599,1219,0,HVAC-F-FA-KNL,downbranch,non-critical
ZON-5,197302.706265,70108.067637,198005.427539,70108.067637,850,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,102186.730734,133257.443095,100018.914018,133257.443095,1219,0,HVAC-E-EA-KNL,downbranch,critical
ZON-5,198338.305986,69324.948506,198338.305986,69174.948506,850,550,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-5,105695.637105,119658.147511,103527.820389,119658.147511,1219,0,HVAC-E-EA-KNL,downbranch,non-critical
