pX,pY,Size,System
239556.399597,58207.733531,50,PS-2-CAP-AR-
239345.706087,57992.428932,110,PS-1-CAP-IK-1-
231975.0,59260,50,PS-2-CAP-AR-
234575.893534,57792.430912,50,PS-2-CAP-AN-
230665.31399,58454.915382,50,PS-2-CAP-AN-
225175.0,77791.800616,50,PS-2-CAP-AR-
220022.802413,75700.0,110,PS-2-CAP-AR-
220324.967411,75271.089529,110,PS-2-CAP-AR-
219969.96939,74919.999995,110,PS-1-CAP-IK-1-
220862.499605,76450.0,50,PS-2-CAP-AR-
221260.0,74750.0,50,PS-2-CAP-AR-
220787.500395,79650.0,50,PS-2-CAP-AR-
221742.49999,80098.440272,50,PS-2-CAP-AR-
220324.967411,74857.5,110,PS-2-CAP-EME-
220824.999802,78395.549446,110,PS-2-CAP-AN-
220395.0,79300.0,110,PS-2-CAP-AR-
220445.0,76750.0,110,PS-2-CAP-AR-
220824.999802,77110.835885,110,PS-2-CAP-AN-
220824.999802,76171.666322,110,PS-2-CAP-AN-
220824.999802,75221.578707,110,PS-2-CAP-AN-
220390.0,78050.0,50,PS-2-CAP-AR-
242855.930372,87867.088486,110,PS-2-CAP-EME-
242700.0,87415.00001,50,PS-2-CAP-AR-
248873.440272,87900.0,50,PS-2-CAP-AR-
245022.651386,87662.088491,50,PS-2-CAP-AN-
243110.928392,87812.088491,110,PS-1-CAP-IK-1-
238225.0,93902.197587,110,PS-2-CAP-AR-
238641.432024,93600.032589,110,PS-2-CAP-AR-
239212.5,92702.5,50,PS-2-CAP-AR-
234237.500395,93200.0,50,PS-2-CAP-AR-
233965.0,92632.50001,50,PS-2-CAP-AR-
234586.348673,92843.431585,50,PS-2-CAP-AN-
238922.031532,92702.5,50,PS-2-CAP-AN-
235532.861248,93200.0,110,PS-2-CAP-AN-
234625.0,93550.0,110,PS-2-CAP-AR-
237075.0,93500.0,110,PS-2-CAP-AR-
237728.333678,93200.000198,110,PS-2-CAP-AN-
238783.757634,93200.000198,110,PS-2-CAP-AN-
235875.0,93535.0,50,PS-2-CAP-AR-
236339.108026,93200.0,110,PS-2-CAP-AN-
237309.774853,93200.000198,110,PS-2-CAP-AN-
237475.0,93165.0,50,PS-2-CAP-AR-
