pX,pY,Size,System
108013.344807,121364.89997,50,-M- SIPHONIC STORM WATER DN
63429.90593,72364.447473,50,-M- SIPHONIC STORM WATER DN
10337.207792,125675.652527,50,-M- SIPHONIC STORM WATER DN
9407.098562,120594.269371,50,-M- SIPHONIC STORM WATER DN
10336.655265,125075.1,50,-M- SIPHONIC STORM WATER DN
8602.175668,123725.0,63,-M- SIPHONIC STORM WATER DN
111040.31888,126291.191503,56,-M- SIPHONIC STORM WATER DN
111534.05784,126496.5579,56,-M- SIPHONIC STORM WATER DN
60832.877627,99090.408886,56,-M- SIPHONIC STORM WATER DN
241753.344735,126100.0,50,-M- SIPHONIC STORM WATER DN
192778.344735,72275.0,110,-M- SIPHONIC STORM WATER DN
295298.492591,73325.0,56,-M- SIPHONIC STORM WATER DN
294321.655265,73325.0,56,-M- SIPHONIC STORM WATER DN
240703.344735,19500.0,50,-M- SIPHONIC STORM WATER DN
240172.616883,94646.324119,75,-M- SIPHONIC STORM WATER DN
259973.18113,72095.368126,75,-M- SIPHONIC STORM WATER DN
240238.074254,55117.519995,56,-M- SIPHONIC STORM WATER DN
238687.5,57825.000011,125,-M- SIPHONIC STORM WATER DN
208221.655265,72800.0,50,-M- SIPHONIC STORM WATER DN
199243.572387,81811.265224,50,-M- SIPHONIC STORM WATER DN
208221.655301,73400.000029,50,-M- SIPHONIC STORM WATER DN
220571.655266,80290.0,50,-M- SIPHONIC STORM WATER DN
229105.948038,84730.739899,50,-M- SIPHONIC STORM WATER DN
233531.655265,92769.9,50,-M- SIPHONIC STORM WATER DN
232010.409729,116769.900003,50,-M- SIPHONIC STORM WATER DN
241256.552537,109262.137051,50,-M- SIPHONIC STORM WATER DN
241256.538594,109862.137051,50,-M- SIPHONIC STORM WATER DN
243526.499525,123815.0,50,-M- SIPHONIC STORM WATER DN
249338.342027,92699.251988,50,-M- SIPHONIC STORM WATER DN
252926.896385,84704.984661,50,-M- SIPHONIC STORM WATER DN
261825.0,80290.0,50,-M- SIPHONIC STORM WATER DN
285796.219871,63790.0,56,-M- SIPHONIC STORM WATER DN
261253.344735,65310.0,63,-M- SIPHONIC STORM WATER DN
253081.17268,60863.882633,50,-M- SIPHONIC STORM WATER DN
275336.655265,73406.443959,56,-M- SIPHONIC STORM WATER DN
275337.521926,72806.44396,50,-M- SIPHONIC STORM WATER DN
248718.344731,52830.1,50,-M- SIPHONIC STORM WATER DN
250239.609959,28832.117118,50,-M- SIPHONIC STORM WATER DN
238582.878764,21782.982908,50,-M- SIPHONIC STORM WATER DN
232911.655266,52900.0,50,-M- SIPHONIC STORM WATER DN
229116.422489,60893.47124,50,-M- SIPHONIC STORM WATER DN
220521.655265,64690.0,50,-M- SIPHONIC STORM WATER DN
194436.655163,69644.9,50,-M- SIPHONIC STORM WATER DN
194436.655193,70244.89997,50,-M- SIPHONIC STORM WATER DN
239389.568203,21782.982878,50,-M- SIPHONIC STORM WATER DN
241187.571889,43838.36666,56,-M- SIPHONIC STORM WATER DN
241890.916594,43735.021896,56,-M- SIPHONIC STORM WATER DN
287729.649669,74640.0,50,-M- SIPHONIC STORM WATER DN
288408.444735,74639.999987,50,-M- SIPHONIC STORM WATER DN
233635.0,92269.477527,56,-M- SIPHONIC STORM WATER DN
237129.11548,91672.399789,63,-M- SIPHONIC STORM WATER DN
249235.0,92239.439006,56,-M- SIPHONIC STORM WATER DN
244939.758318,91994.058577,63,-M- SIPHONIC STORM WATER DN
240172.616883,106673.535408,75,-M- SIPHONIC STORM WATER DN
240172.616883,109599.745486,110,-M- SIPHONIC STORM WATER DN
240172.616883,113121.865371,110,-M- SIPHONIC STORM WATER DN
240172.616883,115762.120462,125,-M- SIPHONIC STORM WATER DN
240172.616883,122779.467143,125,-M- SIPHONIC STORM WATER DN
236321.639796,115125.0,50,-M- SIPHONIC STORM WATER DN
232113.734776,116005.873584,50,-M- SIPHONIC STORM WATER DN
242944.986056,123711.669209,50,-M- SIPHONIC STORM WATER DN
240936.216154,124175.0,90,-M- SIPHONIC STORM WATER DN
242192.160189,124175.0,50,-M- SIPHONIC STORM WATER DN
240172.616883,124906.667246,125,-M- SIPHONIC STORM WATER DN
