StartX,StartY,EndX,EndY
239400.706093,57847.430912,239400.706087,57937.428932
220079.96939,70680.000005,220262.467411,70680.000016
196079.96939,74919.999995,196162.467411,74920.0
196162.467411,74920.0,196262.467411,74920.000006
239005.000005,51754.96939,239005.00001,51837.467411
239005.00001,51837.467411,239005.000016,51937.467411
243244.999995,27754.96939,243245.0,27837.467411
243245.0,27837.467411,243245.000006,27937.467411
239005.000005,19754.96939,239005.000002,19837.467411
239005.000005,19754.96939,239005.000008,19837.467411
239005.000008,19837.467411,239005.000012,19937.467411
243244.999995,19754.96939,243245.0,19837.467411
243245.0,19837.467411,243245.000006,19937.467411
220079.96939,74919.999995,220162.467411,74920.0
220162.467411,74920.0,220262.467411,74920.000006
220079.96939,74919.999995,220162.467411,74919.999998
212079.96939,74919.999995,212162.467411,74919.999998
204225.000005,77001.329239,204225.0,77083.82726
196079.96939,74919.999995,196162.467411,74919.999998
188487.532589,74919.999992,188570.03061,74919.999995
239005.000005,43754.96939,239005.000002,43837.467411
243244.999995,43754.96939,243244.999998,43837.467411
243244.999995,19754.96939,243244.999998,19837.467411
243244.999995,51754.96939,243244.999998,51837.467411
239005.000005,51754.96939,239005.000002,51837.467411
243244.999995,27754.96939,243244.999998,27837.467411
239005.000005,27754.96939,239005.000002,27837.467411
256137.118134,74575.808378,256137.118129,74665.806399
243388.044521,64802.002802,243388.044516,64892.000823
270087.532589,74919.999998,270170.03061,74919.999995
262087.532589,74919.999998,262170.03061,74919.999995
262087.532589,70680.000002,262170.03061,70680.000005
278025.0,68516.17274,278024.999995,68598.670761
286087.532589,70680.000002,286170.03061,70680.000005
294087.532589,70680.000002,294170.03061,70680.000005
270087.532589,70680.000002,270170.03061,70680.000005
233678.588517,79947.246947,233761.088517,79947.246947
233645.231414,59085.0,234098.515521,59085.0
233610.231414,58840.16955,233610.231414,59085.0
192609.061471,65619.59233,192609.061471,65915.0
192609.061471,65584.59233,192853.891921,65584.59233
239004.999994,125662.532589,239005.000005,125845.03061
239004.999999,125662.532589,239005.000005,125845.03061
243245.000006,125662.532589,243244.999995,125845.03061
243245.000001,125662.532589,243244.999995,125845.03061
239004.999994,117662.532589,239005.000005,117845.03061
239004.999999,117662.532589,239005.000005,117845.03061
236841.172741,109700.0,236923.670762,109699.999995
243245.000006,101662.532589,243244.999995,101845.03061
243245.000001,101662.532589,243244.999995,101845.03061
239004.999994,101662.532589,239005.000005,101845.03061
239004.999999,101662.532589,239005.000005,101845.03061
239004.999994,93662.532589,239005.000005,93845.03061
239004.999999,93662.532589,239005.000005,93845.03061
242910.930372,87812.088486,243000.928392,87812.088491
248700.0,87820.0,248700.0,88273.284107
248700.0,88308.284107,248944.83045,88308.284107
243537.948771,82332.0,243537.948776,82421.998021
226117.922093,70930.321069,226117.922098,71020.31909
243244.999984,93662.532589,243244.999995,93845.03061
243245.000006,117662.532589,243244.999995,117845.03061
239005.000005,27754.96939,239005.0,27837.467411
239005.0,27837.467411,239004.999994,27937.467411
196024.96939,70885.000005,196024.96939,74864.999995
196324.967411,70892.5,196324.967411,74857.5
220024.96939,70885.000005,220024.96939,74864.999995
220324.967411,70892.5,220324.967411,74857.5
239210.000005,27699.96939,243189.999995,27699.96939
239217.5,27999.967411,243182.5,27999.967411
239210.000005,19699.96939,243189.999995,19699.96939
239217.5,19999.967411,243182.5,19999.967411
239210.000005,51699.96939,243189.999995,51699.96939
243245.0,52062.467411,243245.0,52166.239505
239155.0,52166.239505,243245.0,52166.239505
239155.0,52062.467411,239155.0,52166.239505
239060.000005,125900.03061,243039.999995,125900.03061
239067.5,125600.032589,243032.5,125600.032589
239060.000005,117900.03061,243039.999995,117900.03061
239067.5,117600.032589,243032.5,117600.032589
239219.971101,93900.03061,240027.805413,93900.03061
240027.805413,93900.03061,240027.805413,101538.331566
240027.805413,101648.022983,240027.805413,101900.03061
239060.000005,101900.03061,240027.805413,101900.03061
239067.499992,101600.0,240194.151209,101600.0
240194.151209,93600.032589,240194.151209,101600.0
239215.182017,93600.032589,240194.151209,93600.032589
242222.194587,93900.03061,243039.999995,93900.03061
242222.194587,93900.03061,242222.194587,101549.644841
242222.194587,101650.544794,242222.194587,101900.03061
242222.194587,101900.03061,243189.999995,101900.03061
242055.848791,101600.0,243182.500009,101600.0
242055.848791,93600.032589,242055.848791,101600.0
242055.848791,93600.032589,243034.817983,93600.032589
226117.922093,67493.296785,226117.922093,70450.321069
225168.963606,67323.42785,226267.922093,67323.42785
225168.963606,66833.771635,225168.963606,67323.42785
225015.444692,66498.773615,225106.463611,66498.773615
225015.444692,66498.773615,225015.444692,67493.296785
225015.444692,67493.296785,226117.922093,67493.296785
226267.922093,67323.42785,226267.922093,70705.31909
226172.922098,70705.31909,226267.922093,70705.31909
