pX,pY,Size,System
211969.96939,74919.999995,110,PS-1-CAP-IK-1-
188680.03061,74919.999995,110,PS-1-CAP-IK-1-
188404.967411,74982.499983,110,PS-2-CAP-EME-
203946.025639,80075.0,110,PS-2-CAP-EME-
219395.0,92250.0,110,PS-2-CAP-EME-
157730.446379,52852.499999,50,PS-2-CAP-AR-
157717.946379,53107.109605,110,PS-2-CAP-AR-
119454.999985,111100.000016,110,PS-2-CAP-EME-
120375.0,86280.0,50,PS-2-CAP-AR-
164495.0,88769.999993,50,PS-2-CAP-AR-
113479.967411,125319.999995,110,PS-1-CAP-IK-1-
85951.468368,46406.782893,65,PS-PW-1-CAP-
85951.468368,52924.122014,65,PS-PW-1-CAP-
74214.086722,81500.0,65,PS-PW-1-CAP-
110974.999961,35537.383389,65,PS-PW-1-CAP-
110375.000039,35537.383389,65,PS-PW-1-CAP-
113082.68786,46617.14015,65,PS-PW-1-CAP-
116442.324009,38101.455136,65,PS-PW-1-CAP-
79792.988267,101284.291616,65,PS-PW-1-CAP-
273885.622444,73886.786024,65,PS-PW-1-CAP-
281276.388775,73886.786024,65,PS-PW-1-CAP-
271694.03172,72133.99767,65,PS-PW-1-CAP-
275325.0,75461.709178,80,PS-PW-1-CAP-
294164.493412,73896.189507,65,PS-PW-1-CAP-
295273.449125,80777.391098,65,PS-PW-1-CAP-
228754.583859,37588.762362,65,PS-PW-1-CAP-
235525.0,8774.953878,50,PS-PW-1-CAP-
48298.73546,117011.4071,65,PS-PW-1-CAP-
46552.424202,121887.964484,65,PS-PW-1-CAP-
59150.192773,78095.368608,110,PS-1-CAP-IK-1-
63500.000006,78099.96939,110,PS-1-CAP-IK-1-
59150.192773,70095.368608,110,PS-1-CAP-IK-1-
59150.192773,102095.368608,110,PS-1-CAP-IK-1-
59150.192773,94095.368608,110,PS-1-CAP-IK-1-
63499.807227,94095.368608,110,PS-1-CAP-IK-1-
61618.79604,62359.194873,110,PS-2-CAP-AN-
64265.967701,80264.04454,50,PS-2-CAP-AN-
64713.552518,82030.016427,50,PS-2-CAP-AN-
61576.389752,95117.70944,110,PS-2-CAP-AN-
65673.183112,95117.70944,110,PS-2-CAP-AN-
48598.73546,124202.227251,110,PS-2-CAP-AN-
43088.232291,106403.041168,65,PS-PW-1-CAP-
69150.400825,130833.206373,110,PS-2-CAP-EME-
55294.310183,136200.000005,110,PS-2-CAP-AN-
59320.68864,136200.000005,110,PS-2-CAP-AN-
