StartX,StartY,EndX,EndY
212079.96939,70680.000005,212262.5,70679.999999
220079.96939,74919.999995,220262.467411,74920.000001
220079.96939,74919.999995,220262.467411,74920.000001
212079.96939,74919.999995,212262.467411,74920.000001
212079.96939,74919.999995,212262.467411,74920.000001
188467.467411,74919.999991,188570.03061,74919.999995
122195.078545,44421.2901,122195.078538,44611.28812
85139.45023,40687.377728,85139.45023,41255.661834
85139.45023,40652.377728,85384.28068,40652.377728
128615.018983,35925,129070.628954,35925
128580.018983,35680.16955,128580.018983,35925
127496.925428,11925.0,127952.535398,11925.0
127461.925428,11680.16955,127461.925428,11925.0
100620.000001,30075.0,101028.172101,30075.0
101063.172101,29830.16955,101063.172101,30075.0
136319.588854,15775.0,135751.304747,15775.0
135716.304747,15775.0,135716.304747,16019.83045
262130.0,70680.000004,262170.03061,70680.000005
243388.044521,64802.002802,243388.044516,64892.000823
239400.706093,57847.430912,239400.706087,57937.428932
226117.922093,70930.321069,226117.922098,71020.31909
270137.5,74919.999996,270170.03061,74919.999995
286137.5,70680.000004,286170.03061,70680.000005
294137.532589,70680.000004,294170.03061,70680.000005
294137.532589,70680.000004,294170.03061,70680.000005
270130.0,70680.000004,270170.03061,70680.000005
270130.0,70680.000004,270170.03061,70680.000005
243244.999995,27754.96939,243245.000001,27937.467411
245326.329238,35900.000005,245408.827259,35900.0
269980.0,70847.500008,270170.03061,70847.500014
262130.0,70680.000004,262170.03061,70680.000005
261980.0,70847.500009,262170.03061,70847.500014
270137.5,74919.999996,270170.03061,74919.999995
293987.532589,70847.499999,294170.03061,70847.500005
293980.032589,74740.0,294170.03061,74740.0
285987.5,70860.0,286170.03061,70860.000005
270081.009744,74752.499998,270163.507764,74752.499995
269980.0,74752.500001,270081.009744,74752.499998
270081.009744,74752.499998,270163.507764,74752.499995
270163.507764,74752.499995,270170.03061,74752.499995
277820.0,68508.67274,277819.999995,68598.670761
239005.000005,43754.96939,239005.000002,43837.467411
239005.000002,43837.467411,239004.999999,43937.467411
243244.999995,43754.96939,243245.000001,43937.467411
239005.000005,43754.96939,239005.000002,43837.467411
243244.999995,43754.96939,243245.000001,43937.467411
243244.999995,51754.96939,243245.000001,51937.467411
225168.96361,66561.273615,225168.963601,66723.773615
277962.218363,77900.807046,278024.747576,77900.807046
277962.218363,77733.307046,278032.247576,77733.307046
236024.192954,36100.252424,236024.192954,36162.781637
247316.312043,16283.820648,247884.59615,16283.820648
247919.59615,16283.820648,247919.59615,16528.651097
232537.216088,19889.771042,233105.500181,19889.771042
232502.216088,19644.940592,232502.216088,19889.771042
232211.715893,35925.0,232780.0,35925.0
232176.715893,35680.16955,232176.715893,35925.0
249944.608926,40295.0,250512.893033,40295.0
250547.893033,40295.0,250547.893033,40539.83045
225617.737967,62275.0,226055.274355,62275.0
225582.737967,62275.0,225582.737967,62519.83045
248052.810527,57771.594916,248052.810527,58278.516282
248052.810527,57736.594916,248297.640977,57736.594916
260725.284958,63029.23803,261093.569065,63029.23803
208050.0,95601.3025,208050.0,95993.223866
208050.0,96028.223866,208294.83045,96028.223866
184905.16955,53911.921366,185150.0,53911.921366
185150.0,53485.0,185150.0,53876.921366
198574.662368,58635.0,198574.662368,59026.921366
198574.662368,59061.921366,198819.492818,59061.921366
198320.959717,53201.063065,198320.959717,52774.141699
198320.959717,52739.141699,198565.790166,52739.141699
137125.846061,50944.71644,137458.800138,50944.71644
137493.800138,50944.71644,137493.800138,51189.546889
172157.045924,65674.414943,172490.0,65674.414943
172122.045924,65429.584494,172122.045924,65674.414943
163700.817603,57820.691879,163700.817603,58212.613245
163700.817603,58247.613245,163945.648052,58247.613245
187981.300465,67325.0,187648.346389,67325.0
187613.346389,67325.0,187613.346389,67569.83045
204225.252424,67699.192954,204287.781637,67699.192954
239005.000005,19754.96939,239005.000002,19837.467411
243244.999995,19754.96939,243245.000001,19937.467411
262085.97687,74919.999998,262170.03061,74919.999995
262078.47687,74660.019363,262168.474891,74660.01936
