pX,pY,Size,System
89381.655265,43080.0,56,-M- SIPHONIC STORM WATER DN
89381.104186,42480.0,56,-M- SIPHONIC STORM WATER DN
92127.222106,25812.509497,63,-M- SIPHONIC STORM WATER DN
92126.671026,25212.509497,63,-M- SIPHONIC STORM WATER DN
107495.500552,41550.860843,50,-M- SIPHONIC STORM WATER DN
119109.554863,41598.573782,50,-M- SIPHONIC STORM WATER DN
133868.344152,8980.0,63,-M- SIPHONIC STORM WATER DN
133868.895231,8380.0,63,-M- SIPHONIC STORM WATER DN
133868.3442,21552.5,63,-M- SIPHONIC STORM WATER DN
133868.89528,20952.5,63,-M- SIPHONIC STORM WATER DN
133868.3442,36155.1,56,-M- SIPHONIC STORM WATER DN
133868.89528,35555.1,56,-M- SIPHONIC STORM WATER DN
139269.1558,49840.918319,50,-M- SIPHONIC STORM WATER DN
139268.60472,49240.918319,50,-M- SIPHONIC STORM WATER DN
140373.535719,46181.509137,50,-M- SIPHONIC STORM WATER DN
140373.535719,49302.193649,50,-M- SIPHONIC STORM WATER DN
135728.900691,42480.000001,50,-M- SIPHONIC STORM WATER DN
130604.249656,42480.000001,110,-M- SIPHONIC STORM WATER DN
123752.168011,42480.000001,110,-M- SIPHONIC STORM WATER DN
122150.0,43070.903626,110,-M- SIPHONIC STORM WATER DN
122212.5,43774.999989,90,-M- SIPHONIC STORM WATER DN
122150.0,44237.5,90,-M- SIPHONIC STORM WATER DN
132079.350718,39279.399361,125,-M- SIPHONIC STORM WATER DN
132079.350718,34202.368579,110,-M- SIPHONIC STORM WATER DN
132079.350718,23497.676613,110,-M- SIPHONIC STORM WATER DN
133591.804087,36155.1,56,-M- SIPHONIC STORM WATER DN
132387.764581,36155.1,63,-M- SIPHONIC STORM WATER DN
132079.350718,19279.281432,90,-M- SIPHONIC STORM WATER DN
132079.350718,10795.97854,90,-M- SIPHONIC STORM WATER DN
132778.096522,8975.0,63,-M- SIPHONIC STORM WATER DN
132778.096522,8375.0,63,-M- SIPHONIC STORM WATER DN
133591.804087,21552.5,63,-M- SIPHONIC STORM WATER DN
132387.764581,21552.5,75,-M- SIPHONIC STORM WATER DN
94665.735638,25812.509497,90,-M- SIPHONIC STORM WATER DN
93030.667154,25812.509497,63,-M- SIPHONIC STORM WATER DN
