pX,pY
193380.1,127765.847002
175244.9,127765.847002
175228.094505,109468.09671
192955.1,109468.09671
192778.85,127765.847002
174644.9,127765.847002
193554.547444,109467.544153
174644.9,109468.09671
106987.02254,89584.288069
107587.02254,89584.288069
117423.622118,89584.288069
118023.622118,89584.288069
106928.042984,72200.0
107528.042984,72200.0
117414.206225,72200.0
118014.206225,72200.0
89484.44892,43080.0
89484.44892,42480.0
92230.56684,25812.509497
92230.56684,25212.509497
107598.845286,41550.860843
119212.899597,41598.573782
133765.0,8375.0
133765.0,8975.0
133765.0,20952.5
133765.0,21552.5
133764.999465,35555.1
133764.999465,36155.1
139375.844735,49240.91832
1843.65,132241.314319
21024.302556,134239.447443
21624.302556,134239.447443
31005.1,134242.519196
31605.1,134242.519196
47180.301769,137016.228176
50285.0,152922.419196
50285.0,153522.419196
50285.0,162944.931574
50285.0,163544.931574
52283.685681,182680.1
124887.1,66890.0
124533.1,66890.0
124710.1,66713.0
124710.1,67067.0
124585.1,66765.0
124835.1,67015.0
124585.1,67015.0
124835.1,66765.0
124710.1,66890.0
124710.1,66890.0
139375.844735,49840.91832
