StartX,StartY,EndX,EndY
243289.194174,27955.773237,244950.0,26294.967411
243443.044521,64747.002802,245505.906855,64747.002802
245505.906855,64747.002802,245705.906855,64747.002802
245505.906855,64747.002802,245705.906855,64547.002802
230020.656855,63767.614863,230020.656855,63967.614863
230020.656855,63967.614863,230020.656855,68395.470313
230020.656855,63967.614863,230220.656855,63767.614863
247675.0,74058.309781,247875.0,74058.309781
247875.0,74058.309781,255937.118134,74058.309781
255937.118134,74058.309781,256137.118134,74258.309781
256137.118134,74058.309781,256137.118134,74258.309781
256137.118134,74258.309781,256137.118134,74465.808378
196387.467411,74920.0,196518.091033,74920.0
196627.477172,75029.386139,196627.477172,75671.612312
196518.091033,74920.0,196627.477172,75029.386139
220325.0,74826.400856,220324.967411,74857.5
261925.032589,72162.222624,262125.032589,72362.222624
261925.032589,70742.5,261925.032589,72162.222624
261925.032589,72162.222624,261925.032589,72362.222624
262125.032589,72362.222624,263993.006295,72362.222624
235199.651281,79967.246947,235199.651281,84559.123106
235049.651281,79817.246947,235199.651281,79967.246947
233953.588517,79817.246947,235049.651281,79817.246947
235049.651281,79817.246947,235199.651281,79817.246947
233867.782691,79903.052774,233953.588517,79817.246947
241774.899013,50830.444339,241774.899013,51849.967411
244950.0,26066.657215,244950.0,26294.967411
241718.123327,51999.967411,241924.899013,51999.967411
241924.899013,51999.967411,243182.5,51999.967411
241774.899013,51849.967411,241924.899013,51999.967411
245705.906855,61440.163663,245705.906855,64547.002802
247675.0,74258.309781,247675.0,77615.9319
247675.0,74258.309781,247875.0,74058.309781
230220.656855,63767.614863,233417.650206,63767.614863
236688.768263,57992.430912,236688.768263,60546.496806
236688.768263,57792.430912,236888.768263,57792.430912
236888.768263,57792.430912,239345.706093,57792.430912
236688.768263,57992.430912,236888.768263,57792.430912
236331.43267,60903.832399,236688.768263,60546.496806
285858.248699,68974.565994,287834.367352,68974.565994
285658.248699,68974.565994,285658.248699,69174.565994
285658.248699,69174.565994,285658.248699,70580.0
285658.248699,69174.565994,285858.248699,68974.565994
285758.248699,70680.0,285862.532589,70680.0
285658.248699,70580.0,285758.248699,70680.0
229864.757758,68551.36941,230020.656855,68395.470313
189052.681739,77187.826356,189212.679609,77347.824226
195487.248737,77349.983902,195649.406283,77187.826356
206550.0,79962.500001,206550.0,80090.000433
211487.254165,77342.212476,211641.640285,77187.826356
219487.254165,77342.212476,219641.640285,77187.826356
245562.873672,20715.220119,245710.148126,20862.494573
238649.651281,93271.623106,238925.0,93271.623106
238925.0,93271.623106,239005.0,93351.623106
239005.0,93351.623106,239005.0,93537.532589
239067.499992,101600.0,239274.703215,101600.0
237299.565994,118162.096361,237299.565994,119585.773456
237299.565994,118162.096361,237449.565994,118012.096361
237299.565994,118012.096361,237449.565994,118012.096361
237449.565994,118012.096361,238592.936228,118012.096361
238592.936228,118012.096361,238960.805826,117644.226763
