StartX,StartY,EndX,EndY
54387.5,176000.013078,55707.490328,176000.022937
55707.490328,176000.022937,55707.490328,176000.022937
55707.490328,176000.022937,56800.031097,176000.031097
17500.0,125762.5,17500.0,125917.5
54155.707835,181343.990614,54155.707835,181810.624436
54155.707835,181880.624436,54155.707835,184067.022471
53950.0,183257.022432,54100.0,183407.022432
55254.999999,169412.5,55590.0,169412.5
55104.999999,169262.5,55254.999999,169412.5
55104.999999,167080.0,55104.999999,167429.999999
55104.999999,167429.999999,55104.999999,167920.032589
55104.999999,167920.032589,55104.999999,168462.790674
55104.999999,168462.790674,55104.999999,169262.5
63507.500006,78400.0,63981.179438,78400.0
63981.179438,78400.0,64190.000006,78400.0
64251.841813,78670.662375,64251.841813,79698.158187
64251.841813,79698.158187,64251.841813,80149.49762
64251.841813,80149.49762,64251.841813,80575.032589
62610.0,68987.5,62885.0,68987.5
62610.0,71812.6,62935.202518,71812.6
62610.0,76987.532589,62935.000006,76987.532589
115550.0,121640.0,115550.0,121935.0
116120.0,121429.792352,116120.0,121935.0
116120.0,121429.792352,116251.680965,121298.111387
54954.999999,168070.032589,55104.999999,167920.032589
55160.0,167025.0,57150.0,167025.0
57150.0,167025.0,58537.5,167025.0
57150.0,167025.0,57225.0,166950.0
55104.999999,167429.999999,55248.483496,167573.483496
40799.999802,116475.000198,40799.999802,116770.58027
40799.999802,116770.58027,40799.999802,116854.999802
40799.999802,116854.999802,40799.999802,118124.999802
40799.999802,118124.999802,40799.999802,119354.999802
40799.999802,119354.999802,40799.999802,119674.017316
40799.999802,119674.017316,40799.999802,120524.999812
40799.999802,120524.999812,40799.999802,120930.0
40799.999802,116475.000198,40897.978148,116377.021852
40680.355339,116735.355339,40799.999802,116854.999802
40649.748737,117974.748737,40799.999802,118124.999802
40680.355339,119235.355339,40799.999802,119354.999802
40649.748737,120374.748747,40799.999802,120524.999812
40800.036064,119674.017316,40898.01441,119576.03897
40799.999802,116770.58027,41470.831335,116099.748737
40587.467411,121080.0,40649.999802,121080.0
40649.999802,121080.0,40799.999802,120930.0
237858.158193,30277.306732,238148.158193,30277.306732
237758.158193,30177.306732,237858.158193,30277.306732
237758.158193,29056.516044,237758.158193,29275.0
237758.158193,29275.0,237758.158193,29825.0
237758.158193,29825.0,237758.158193,30177.306732
237758.158193,30177.306732,237758.158193,30339.718726
237858.158193,30439.718726,238037.560878,30439.718726
237758.158193,30339.718726,237858.158193,30439.718726
237858.158193,29375.0,238237.535688,29375.0
237858.158193,29925.0,238437.5,29925.0
237758.158193,29825.0,237858.158193,29925.0
237758.158193,29275.0,237858.158193,29375.0
54190.707835,181845.624436,54950.797316,181845.624436
54180.456572,181870.373174,55000.566305,182690.482906
56800.031097,176000.031097,56955.805826,176155.805826
55627.5,174625.0,55627.490328,175920.031589
55627.490328,175920.031589,55707.482779,176000.022937
55707.482779,176000.022937,55707.490328,176000.030486
55627.490328,176080.014285,55627.5,177375.045874
55627.490328,176080.014285,55707.482779,176000.022937
55707.482779,176000.022937,55707.490328,176000.015388
55104.999999,168462.790674,55817.45516,169175.245835
64102.855937,80298.483496,64251.841813,80149.49762
63981.179438,78400.0,64251.841813,78670.662375
64201.516504,79748.483496,64251.841813,79698.158187
88638.876342,37425.0,93728.198256,37425.0
136930.183542,20794.694594,137860.183542,20794.694594
128723.693267,4051.385331,128723.693267,5620.175174
302345.0,75025.000005,302345.0,75942.371362
302265.0,76022.371362,302345.0,75942.371362
302058.851151,76022.371362,302265.0,76022.371362
302058.851151,75982.371362,302058.851151,76022.371362
302058.851151,76022.371362,302058.851151,76062.371362
299807.809322,76234.72126,299936.389684,76234.72126
299936.389684,76197.22126,299936.389684,76234.72126
299936.389684,76234.72126,299936.389684,76272.22126
299951.559728,74812.50001,300045.0,74812.50001
299951.559728,74775.00001,299951.559728,74812.50001
299951.559728,74812.50001,299951.559728,74850.00001
299727.809322,75529.197899,299727.809322,76154.72126
299807.809322,75449.197899,299727.809322,75529.197899
299727.809322,76154.72126,299807.809322,76234.72126
300125.0,74892.50001,300125.0,75414.197899
300045.0,74812.50001,300125.0,74892.50001
302257.5,74937.500005,302345.0,75025.000005
302167.03061,74937.500005,302257.5,74937.500005
300090.0,75449.197899,299807.809322,75449.197899
301951.498318,74776.967713,302073.139737,74898.609132
301951.498318,74776.967713,301285.066017,74776.967713
301285.066017,74776.967713,300797.230186,74776.967713
300152.70352,75421.494379,300797.230186,74776.967713
301174.533732,74887.499998,301285.066017,74776.967713
239254.416502,12530.583501,239064.016507,12720.983496
238838.996397,11971.965792,238724.194169,11857.163564
238838.996397,11971.965792,239174.416502,11971.965792
239254.416502,12051.965792,239254.416502,12530.583501
239254.416502,12530.583501,239254.416502,13018.419331
239174.416502,11971.965792,239254.416502,12051.965792
239254.416502,13018.419331,238502.318606,13770.517228
107237.5,121640.0,107237.5,122165.0
233835.0,111825.17381,233962.500403,111825.17381
234037.499597,111825.17381,235250.220214,111825.17381
235250.220214,111825.17381,235918.678873,111825.17381
234304.360987,112576.672282,235250.220214,111825.17381
243624.197899,131855.0,243624.197899,132821.693658
235968.678873,110132.711403,235968.678873,107334.97972
