pX,pY,Size,System
32169.96939,125319.999995,110,PS-1-CAP-IK-1-
40169.96939,125319.999995,110,PS-1-CAP-IK-1-
40524.967411,125257.5,110,PS-2-CAP-EME-
32524.967411,125257.5,110,PS-2-CAP-EME-
56224.192954,160224.747576,110,PS-2-CAP-EME-
56169.192954,159982.218363,110,PS-1-CAP-IK-1-
65471.329238,160044.999995,110,PS-1-CAP-IK-1-
65733.827259,160100.0,110,PS-2-CAP-EME-
24480.000005,119053.670761,110,PS-1-CAP-IK-1-
24425.0,118791.17274,110,PS-2-CAP-EME-
24362.752424,129063.87525,110,PS-2-CAP-AN-
24362.752424,128238.307046,110,PS-2-CAP-EME-
24542.781637,128355.807046,110,PS-1-CAP-IK-1-
22543.764211,132350.000115,50,PS-2-CAP-AN-
2687.022214,127395.471998,50,PS-2-CAP-AR-
1340.779864,128650.0,50,PS-2-CAP-AR-
1900.0,129497.5,50,PS-2-CAP-AR-
2710.0,131584.72126,50,PS-2-CAP-AR-
171.86261,128060.246161,110,PS-1-CAP-IK-1-
375.017845,130456.781144,110,PS-2-CAP-AR-
8169.96939,129269.999995,110,PS-1-CAP-IK-1-
8524.967411,129207.5,110,PS-2-CAP-EME-
9975.0,128897.5,50,PS-2-CAP-AR-
8827.164998,130200.000009,110,PS-2-CAP-AR-
8222.769824,130200.000009,110,PS-2-CAP-AR-
8524.967411,129816.715594,110,PS-2-CAP-AR-
7075.0,128897.5,50,PS-2-CAP-AR-
16524.967411,134371.601355,50,PS-2-CAP-AR-
16169.96939,129269.999995,110,PS-1-CAP-IK-1-
16524.967411,129207.5,110,PS-2-CAP-EME-
15075.0,128897.5,50,PS-2-CAP-AR-
16524.967411,129517.412741,110,PS-2-CAP-AR-
14363.918877,126450.0,50,PS-2-CAP-AR-
17762.500198,127299.999802,50,PS-2-CAP-AR-
16887.499802,128399.999802,50,PS-2-CAP-AR-
18740.0,127564.220136,50,PS-2-CAP-AR-
23837.499802,126974.999802,50,PS-2-CAP-AR-
17462.5,125955.0,50,PS-2-CAP-AR-
17248.539171,127635.259874,110,PS-2-CAP-AR-
17248.538519,126999.75,110,PS-2-CAP-AR-
17233.538519,126449.01841,50,PS-2-CAP-AR-
24388.588179,125287.5,50,PS-2-CAP-AR-
23387.499348,127310.300311,110,PS-2-CAP-AR-
22937.499802,127674.999802,50,PS-2-CAP-AR-
28232.708975,127373.977346,50,PS-2-CAP-AR-
26887.49999,127621.585918,50,PS-2-CAP-AR-
27258.520726,132729.475995,50,PS-2-CAP-AR-
33500.0,135150.422655,50,PS-2-CAP-AR-
34368.477522,130651.0,50,PS-2-CAP-AR-
33586.404593,127774.716709,50,PS-2-CAP-AR-
32988.849686,127774.716709,110,PS-2-CAP-AR-
24169.96939,121080.000005,110,PS-1-CAP-IK-1-
24524.967411,121142.5,110,PS-2-CAP-EME-
24827.197587,120300.0,110,PS-2-CAP-AR-
24222.802413,120300.0,110,PS-2-CAP-AR-
24525.0,120781.406697,110,PS-2-CAP-AR-
26330.299915,118788.402995,50,PS-2-CAP-AR-
25387.494573,118868.292146,50,PS-2-CAP-AR-
23662.505427,118590.990579,50,PS-2-CAP-AR-
22924.954835,118790.000027,50,PS-2-CAP-AR-
16169.96939,121080.000005,110,PS-1-CAP-IK-1-
16524.967411,121142.5,110,PS-2-CAP-EME-
53835.002814,137299.999986,50,PS-2-CAP-AR-
54164.361789,139125.0,110,PS-2-CAP-AR-
55684.220136,140950.443622,50,PS-2-CAP-AR-
53845.74844,149900.0,50,PS-2-CAP-AR-
57550.0,160695.220107,50,PS-2-CAP-AR-
56815.0,161550.0,50,PS-2-CAP-AR-
56943.391333,157638.339575,50,PS-2-CAP-AR-
57386.775808,157526.703537,50,PS-2-CAP-AR-
59237.5,160135.779864,50,PS-2-CAP-AR-
57900.0,160140.779864,110,PS-2-CAP-AR-
57287.390516,161085.334624,110,PS-2-CAP-AR-
64225.0,159697.802413,110,PS-2-CAP-AR-
64225.0,160302.197587,110,PS-2-CAP-AR-
62885.0,161412.5,50,PS-2-CAP-AR-
65747.826356,161600.045165,50,PS-2-CAP-AR-
65939.707247,160862.494573,50,PS-2-CAP-AR-
65733.444429,158399.954835,50,PS-2-CAP-AR-
65935.63583,159137.505427,50,PS-2-CAP-AR-
62885.0,158587.5,50,PS-2-CAP-AR-
50151.720136,166276.486046,50,PS-2-CAP-AR-
50116.720136,166974.034702,50,PS-2-CAP-AR-
57062.5,176200.0,110,PS-2-CAP-EME-
55665.0,174587.5,50,PS-2-CAP-AR-
54325.0,175697.802413,110,PS-2-CAP-AR-
54325.0,176302.197587,110,PS-2-CAP-AR-
54806.406697,176000.0,110,PS-2-CAP-AR-
55665.0,177412.5,50,PS-2-CAP-AR-
52650.0,177187.356322,50,PS-2-CAP-AR-
52650.0,176421.368351,50,PS-2-CAP-AR-
55875.00001,182907.367687,50,PS-2-CAP-AR-
54990.0,182716.57555,50,PS-2-CAP-AR-
115182.825846,89637.921623,110,PS-2-CAP-AR-
25095.270162,118625.990579,50,PS-2-CAP-AR-
63477.313207,160344.537422,110,PS-1-CAP-IK-1-
63466.951698,160058.550731,110,PS-2-CAP-EME-
198682.5859,65925.0,110,PS-2-CAP-AR-
270280.03061,74919.999995,110,PS-1-CAP-IK-1-
251475.0,74691.720136,50,PS-2-CAP-AR-
256082.118129,74720.806399,110,PS-1-CAP-IK-1-
256082.118134,74520.808378,110,PS-2-CAP-EME-
269925.0,74982.492361,110,PS-2-CAP-EME-
286280.03061,70680.000005,110,PS-1-CAP-IK-1-
286075.0,70617.5,110,PS-2-CAP-AR-
286075.032589,70742.499992,110,PS-2-CAP-EME-
294280.03061,70680.000005,110,PS-1-CAP-IK-1-
294075.032589,70470.895736,110,PS-2-CAP-EME-
278064.136935,68692.314,110,PS-1-CAP-IK-1-
278025.0,68391.17274,110,PS-2-CAP-EME-
278149.747576,77900.807046,110,PS-2-CAP-EME-
277907.218363,77955.807046,110,PS-1-CAP-IK-1-
270280.03061,70680.000005,110,PS-1-CAP-IK-1-
226172.922098,71075.31909,110,PS-2-CAP-EME-
226172.922098,70875.321069,110,PS-1-CAP-IK-1-
270075.0,70454.759923,110,PS-2-CAP-EME-
262280.03061,70680.000005,110,PS-1-CAP-IK-1-
262075.0,70454.759923,110,PS-2-CAP-EME-
294280.03061,74919.999995,110,PS-1-CAP-IK-1-
294462.472883,74634.967124,110,PS-2-CAP-EME-
277907.218363,77678.307046,110,PS-1-CAP-IK-1-
270280.03061,74752.499995,110,PS-1-CAP-IK-1-
204287.5,77146.32726,110,PS-2-CAP-EME-
204342.781637,67644.192954,110,PS-1-CAP-IK-1-
219969.96939,74919.999995,110,PS-1-CAP-IK-1-
220324.967411,74857.5,110,PS-2-CAP-EME-
211969.96939,74919.999995,110,PS-1-CAP-IK-1-
212324.967411,74857.5,110,PS-2-CAP-EME-
188680.03061,74919.999995,110,PS-1-CAP-IK-1-
188404.967411,74982.499984,110,PS-2-CAP-EME-
224812.499605,75699.568108,50,PS-2-CAP-AR-
263375.0,80073.549808,50,PS-1-CAP-IK-1-
268225.966287,79925.782663,50,PS-1-CAP-IK-1-
189700.0,74019.809322,110,PS-2-CAP-AR-
221700.0,76016.879737,110,PS-2-CAP-AR-
196324.967411,71784.437545,110,PS-2-CAP-AN-
200401.671969,76546.32726,110,PS-2-CAP-AN-
188404.967411,73330.045726,110,PS-2-CAP-AN-
52315.863817,139984.713185,50,PS-2-CAP-AR-
52932.351842,139984.713185,50,PS-1-CAP-IK-1-
213300.0,69808.734265,110,PS-2-CAP-AR-
20790.0,132350.0,50,PS-2-CAP-AR-
24390.197397,126975.309626,110,PS-2-CAP-AR-
36899.979164,133207.399954,50,PS-2-CAP-AR-
33535.0,134700.0,50,PS-2-CAP-AR-
33928.826219,130651.0,110,PS-2-CAP-AR-
36899.979164,134425.696388,50,PS-1-CAP-IK-1-
33500.0,135830.942612,50,PS-1-CAP-IK-1-
42142.80847,128873.279864,50,PS-2-CAP-AR-
57064.724978,158521.847568,50,PS-2-CAP-AR-
51652.137083,159024.220136,50,PS-2-CAP-AR-
51652.137083,161824.220136,50,PS-2-CAP-AR-
50064.687978,147622.431634,50,PS-1-CAP-IK-1-
49277.346419,151028.307262,50,PS-1-CAP-IK-1-
49849.867524,151028.307262,50,PS-2-CAP-AR-
50913.828031,147622.431634,50,PS-2-CAP-AR-
54210.707835,184122.022471,110,PS-2-CAP-AR-
53555.371876,181845.624436,50,PS-2-CAP-AR-
54100.707835,181288.990614,110,PS-2-CAP-EME-
57125.0,181830.045165,50,PS-2-CAP-AR-
55627.492728,176460.400317,110,PS-2-CAP-EME-
172842.5,116274.344948,110,PS-2-CAP-AR-
195969.96939,70680.000005,110,PS-1-CAP-IK-1-
196324.967411,70617.5,110,PS-2-CAP-EME-
206782.5859,76000.0,110,PS-2-CAP-AR-
219969.96939,70680.000005,110,PS-1-CAP-IK-1-
220324.967411,70742.5,110,PS-2-CAP-EME-
231710.0,66050.0,50,PS-2-CAP-AR-
231527.452506,66050.0,50,PS-2-CAP-AN-
230119.062391,66050.0,50,PS-2-CAP-AN-
229820.563584,67048.885788,50,PS-2-CAP-AN-
229607.071967,67923.299666,110,PS-2-CAP-AR-
227588.108878,66023.029583,50,PS-2-CAP-AR-
225705.425186,66885.738331,110,PS-2-CAP-AR-
226221.312349,66023.029583,50,PS-2-CAP-AN-
224687.5,65775.000014,50,PS-2-CAP-AR-
229868.6136,68555.595522,110,PS-2-CAP-EME-
230125.561605,68595.563579,110,PS-1-CAP-IK-1-
225115.017578,66530.33428,110,PS-2-CAP-EME-
225113.963606,66778.771635,110,PS-1-CAP-IK-1-
225168.961314,66213.845273,50,PS-2-CAP-AN-
231271.862316,65590.0,50,PS-2-CAP-AR-
227553.108878,74980.601353,50,PS-2-CAP-AR-
227588.108878,74549.568108,50,PS-2-CAP-AR-
227315.0,67175.0,50,PS-2-CAP-AR-
226260.0,67250.0,50,PS-2-CAP-AR-
225760.0,66979.832383,50,PS-2-CAP-AR-
239556.399597,58031.45668,50,PS-2-CAP-AR-
239345.706087,57992.428932,110,PS-1-CAP-IK-1-
245299.586435,57792.430912,50,PS-2-CAP-AR-
247250.021274,62386.825021,50,PS-2-CAP-AR-
246940.0,61650.0,50,PS-2-CAP-AR-
244854.342094,64747.002802,110,PS-2-CAP-AN-
246975.0,63887.651701,110,PS-2-CAP-AN-
243335.297114,64947.000823,110,PS-1-CAP-IK-1-
241742.84725,57792.430912,50,PS-2-CAP-AN-
247285.021274,62977.0,50,PS-2-CAP-AR-
246975.0,62345.148238,50,PS-2-CAP-AN-
238543.600403,58112.509558,50,PS-2-CAP-AR-
256137.118134,71666.162276,50,PS-2-CAP-AN-
203128.56655,67243.335701,110,PS-2-CAP-AN-
197662.5,69950.0,50,PS-2-CAP-AR-
198249.999802,70012.499802,50,PS-2-CAP-AR-
198550.0,69823.158193,110,PS-2-CAP-AR-
196900.820188,70274.41953,110,PS-2-CAP-AN-
197569.171772,70274.41953,110,PS-2-CAP-AN-
198783.423584,69750.304678,50,PS-2-CAP-AR-
186862.5,71202.5,50,PS-2-CAP-AR-
185614.658202,69185.0,50,PS-2-CAP-AR-
186116.039251,70875.0,50,PS-2-CAP-AR-
198640.374155,67421.837416,50,PS-2-CAP-AR-
194950.0,71202.5,50,PS-2-CAP-AR-
195427.505427,68227.794389,50,PS-2-CAP-AR-
194689.954835,68412.173644,50,PS-2-CAP-AR-
