pX,pY,Size,System
238687.5,57825.000011,125,-M- SIPHONIC STORM WATER DN
235257.501879,131275.370876,75,-M- SIPHONIC STORM WATER DN
299541.712752,66873.128874,110,-M- SIPHONIC STORM WATER DN
247126.060305,14303.891121,90,-M- SIPHONIC STORM WATER DN
238940.0,57508.920085,63,-M- SIPHONIC STORM WATER DN
238687.5,58025.0,110,-M- SIPHONIC STORM WATER DN
63762.5,108225.000011,125,-M- SIPHONIC STORM WATER DN
67303.105573,181696.619829,110,-M- SIPHONIC STORM WATER DN
63762.5,108400.0,63,-M- SIPHONIC STORM WATER DN
55348.997814,64715.739949,90,-M- SIPHONIC STORM WATER DN
2909.292644,117293.387848,90,-M- SIPHONIC STORM WATER DN
115924.207136,129112.313496,90,-M- SIPHONIC STORM WATER DN
102146.655265,51105.393809,56,-M- SIPHONIC STORM WATER DN
102147.209299,50505.393809,63,-M- SIPHONIC STORM WATER DN
125210.859332,49875.095706,50,-M- SIPHONIC STORM WATER DN
125211.413366,49275.095706,50,-M- SIPHONIC STORM WATER DN
103039.584388,50505.393809,63,-M- SIPHONIC STORM WATER DN
107494.384445,50505.393809,90,-M- SIPHONIC STORM WATER DN
121865.627127,50505.393809,90,-M- SIPHONIC STORM WATER DN
125644.015629,50505.393809,90,-M- SIPHONIC STORM WATER DN
126261.132655,50505.393809,90,-M- SIPHONIC STORM WATER DN
126683.41462,47265.196904,90,-M- SIPHONIC STORM WATER DN
124250.242361,44175.0,90,-M- SIPHONIC STORM WATER DN
122150.0,44237.5,90,-M- SIPHONIC STORM WATER DN
92127.222106,25812.509497,63,-M- SIPHONIC STORM WATER DN
92126.671026,25212.509497,63,-M- SIPHONIC STORM WATER DN
89381.655265,43080.0,56,-M- SIPHONIC STORM WATER DN
89381.104186,42480.0,56,-M- SIPHONIC STORM WATER DN
107495.500552,41550.860843,50,-M- SIPHONIC STORM WATER DN
119109.554863,41598.573782,50,-M- SIPHONIC STORM WATER DN
133868.344152,8980.0,63,-M- SIPHONIC STORM WATER DN
133868.895231,8380.0,63,-M- SIPHONIC STORM WATER DN
133868.3442,21552.5,63,-M- SIPHONIC STORM WATER DN
133868.89528,20952.5,63,-M- SIPHONIC STORM WATER DN
133868.3442,36155.1,56,-M- SIPHONIC STORM WATER DN
133868.89528,35555.1,56,-M- SIPHONIC STORM WATER DN
139482.533669,49840.918319,50,-M- SIPHONIC STORM WATER DN
139483.084749,49240.918319,50,-M- SIPHONIC STORM WATER DN
106883.677806,89584.288069,63,-M- SIPHONIC STORM WATER DN
107689.814719,89583.735512,63,-M- SIPHONIC STORM WATER DN
117319.724827,89583.735512,50,-M- SIPHONIC STORM WATER DN
118125.86174,89583.182955,50,-M- SIPHONIC STORM WATER DN
117311.414047,72200.552557,56,-M- SIPHONIC STORM WATER DN
118117.550959,72200.0,50,-M- SIPHONIC STORM WATER DN
106824.69825,72200.0,56,-M- SIPHONIC STORM WATER DN
107630.835162,72199.447443,56,-M- SIPHONIC STORM WATER DN
193483.444735,127765.847002,56,-M- SIPHONIC STORM WATER DN
192675.505265,127765.847002,56,-M- SIPHONIC STORM WATER DN
175348.244735,127765.847002,50,-M- SIPHONIC STORM WATER DN
174540.305265,127765.847002,50,-M- SIPHONIC STORM WATER DN
175348.244735,109468.09671,50,-M- SIPHONIC STORM WATER DN
174540.305265,109468.09671,50,-M- SIPHONIC STORM WATER DN
193657.892178,109467.544153,63,-M- SIPHONIC STORM WATER DN
192849.952709,109467.544153,63,-M- SIPHONIC STORM WATER DN
1740.305265,132241.314319,50,-M- SIPHONIC STORM WATER DN
20920.957822,134239.447443,50,-M- SIPHONIC STORM WATER DN
21729.594735,134240.0,50,-M- SIPHONIC STORM WATER DN
30901.076536,134240.0,50,-M- SIPHONIC STORM WATER DN
31709.713449,134240.552557,50,-M- SIPHONIC STORM WATER DN
50180.405265,153522.419196,50,-M- SIPHONIC STORM WATER DN
50180.405265,152922.971752,50,-M- SIPHONIC STORM WATER DN
47076.957034,137016.228176,50,-M- SIPHONIC STORM WATER DN
50181.655265,163544.931574,50,-M- SIPHONIC STORM WATER DN
50182.207822,162945.484131,50,-M- SIPHONIC STORM WATER DN
52180.340946,182680.1,50,-M- SIPHONIC STORM WATER DN
