pX,pY,Size,System
60903.344735,176500.0,63,-M- SIPHONIC STORM WATER DN
109671.655265,122675.0,50,-M- SIPHONIC STORM WATER DN
7921.655265,123725.0,56,-M- SIPHONIC STORM WATER DN
61746.655265,69900.0,50,-M- SIPHONIC STORM WATER DN
93451.650756,123196.949843,50,-M- SIPHONIC STORM WATER DN
103103.082878,132314.609958,50,-M- SIPHONIC STORM WATER DN
93451.650792,123796.949873,50,-M- SIPHONIC STORM WATER DN
81398.244734,130690.0,50,-M- SIPHONIC STORM WATER DN
68918.344735,143169.9,56,-M- SIPHONIC STORM WATER DN
70439.590271,167018.097405,50,-M- SIPHONIC STORM WATER DN
61400.164818,159662.137051,50,-M- SIPHONIC STORM WATER DN
61400.150875,160262.137051,50,-M- SIPHONIC STORM WATER DN
58786.555265,174215.0,50,-M- SIPHONIC STORM WATER DN
53111.655265,143100.0,56,-M- SIPHONIC STORM WATER DN
49372.875218,135142.988067,50,-M- SIPHONIC STORM WATER DN
41321.655266,131310.0,50,-M- SIPHONIC STORM WATER DN
17227.655265,114250.0,50,-M- SIPHONIC STORM WATER DN
41516.555266,115710.0,50,-M- SIPHONIC STORM WATER DN
49371.175605,111251.785937,50,-M- SIPHONIC STORM WATER DN
27097.599496,123806.443959,63,-M- SIPHONIC STORM WATER DN
27096.732836,123206.44396,63,-M- SIPHONIC STORM WATER DN
53731.655267,103244.9,56,-M- SIPHONIC STORM WATER DN
52211.655265,79269.9,50,-M- SIPHONIC STORM WATER DN
64236.042813,72365.0,50,-M- SIPHONIC STORM WATER DN
69538.344734,103255.1,56,-M- SIPHONIC STORM WATER DN
73344.051633,111265.476287,50,-M- SIPHONIC STORM WATER DN
81928.344735,115090.0,50,-M- SIPHONIC STORM WATER DN
108013.344837,120764.9,50,-M- SIPHONIC STORM WATER DN
108013.344807,121364.89997,50,-M- SIPHONIC STORM WATER DN
63532.698108,72468.344764,50,-M- SIPHONIC STORM WATER DN
10534.704301,125675.652527,50,-M- SIPHONIC STORM WATER DN
10535.256829,125075.1,50,-M- SIPHONIC STORM WATER DN
102146.655265,51105.393809,56,-M- SIPHONIC STORM WATER DN
102147.209299,50505.393809,63,-M- SIPHONIC STORM WATER DN
125210.859332,49875.095706,50,-M- SIPHONIC STORM WATER DN
125211.413366,49275.095706,50,-M- SIPHONIC STORM WATER DN
238687.5,57825.000011,125,-M- SIPHONIC STORM WATER DN
235257.501879,131275.370876,75,-M- SIPHONIC STORM WATER DN
299541.712752,66873.128874,110,-M- SIPHONIC STORM WATER DN
247126.060305,14303.891121,90,-M- SIPHONIC STORM WATER DN
238940.0,57508.920085,63,-M- SIPHONIC STORM WATER DN
238687.5,58025.0,110,-M- SIPHONIC STORM WATER DN
63762.5,108225.000011,125,-M- SIPHONIC STORM WATER DN
61159.083377,86390.639566,50,-M- SIPHONIC STORM WATER DN
61862.428082,86493.98433,50,-M- SIPHONIC STORM WATER DN
59489.899971,174111.655295,50,-M- SIPHONIC STORM WATER DN
68815.00001,142663.345664,56,-M- SIPHONIC STORM WATER DN
63824.447914,142055.036064,56,-M- SIPHONIC STORM WATER DN
57202.844543,142385.036064,56,-M- SIPHONIC STORM WATER DN
53215.0,142790.845665,56,-M- SIPHONIC STORM WATER DN
60464.997746,143770.705298,75,-M- SIPHONIC STORM WATER DN
60464.997746,157447.24274,75,-M- SIPHONIC STORM WATER DN
60464.997746,160023.892945,75,-M- SIPHONIC STORM WATER DN
60464.997746,162970.144543,90,-M- SIPHONIC STORM WATER DN
60464.997746,170279.341092,90,-M- SIPHONIC STORM WATER DN
70335.0,166497.640207,50,-M- SIPHONIC STORM WATER DN
65452.017365,165526.487417,50,-M- SIPHONIC STORM WATER DN
60464.997746,174602.283735,90,-M- SIPHONIC STORM WATER DN
60464.997746,175823.402529,110,-M- SIPHONIC STORM WATER DN
60800.0,177100.53456,63,-M- SIPHONIC STORM WATER DN
60464.997746,180639.649037,110,-M- SIPHONIC STORM WATER DN
67303.105573,181696.619829,110,-M- SIPHONIC STORM WATER DN
64557.840594,182545.753762,110,-M- SIPHONIC STORM WATER DN
55860.630954,135142.988067,50,-M- SIPHONIC STORM WATER DN
68011.040503,135105.240802,63,-M- SIPHONIC STORM WATER DN
61800.46273,134747.265655,63,-M- SIPHONIC STORM WATER DN
61800.46273,133084.070973,63,-M- SIPHONIC STORM WATER DN
61800.46273,124493.254023,63,-M- SIPHONIC STORM WATER DN
61800.46273,111931.492723,63,-M- SIPHONIC STORM WATER DN
56592.249332,111254.08816,50,-M- SIPHONIC STORM WATER DN
66230.112547,111254.088159,50,-M- SIPHONIC STORM WATER DN
61800.46273,110888.073144,63,-M- SIPHONIC STORM WATER DN
61800.46273,109864.990678,63,-M- SIPHONIC STORM WATER DN
62723.266579,108553.488344,63,-M- SIPHONIC STORM WATER DN
63762.5,108400.0,63,-M- SIPHONIC STORM WATER DN
53835.000002,103868.820918,56,-M- SIPHONIC STORM WATER DN
58687.628063,104409.776348,56,-M- SIPHONIC STORM WATER DN
65834.571358,104009.692878,56,-M- SIPHONIC STORM WATER DN
62068.052702,104038.908921,63,-M- SIPHONIC STORM WATER DN
62068.052702,101557.682696,63,-M- SIPHONIC STORM WATER DN
62068.052702,87860.680709,63,-M- SIPHONIC STORM WATER DN
62068.052702,83166.87393,75,-M- SIPHONIC STORM WATER DN
52315.0,80104.042823,50,-M- SIPHONIC STORM WATER DN
57246.216019,81034.840911,50,-M- SIPHONIC STORM WATER DN
62068.052702,76107.833715,75,-M- SIPHONIC STORM WATER DN
62068.052702,71094.78466,90,-M- SIPHONIC STORM WATER DN
63233.452508,71941.930473,50,-M- SIPHONIC STORM WATER DN
62518.535411,71941.930473,50,-M- SIPHONIC STORM WATER DN
61850.0,69350.785684,50,-M- SIPHONIC STORM WATER DN
62068.052702,66784.944423,110,-M- SIPHONIC STORM WATER DN
55348.997814,64715.739949,90,-M- SIPHONIC STORM WATER DN
58328.029305,63866.606017,110,-M- SIPHONIC STORM WATER DN
55411.497814,64400.0,110,-M- SIPHONIC STORM WATER DN
42496.339549,119659.925731,50,-M- SIPHONIC STORM WATER DN
42059.717019,128010.995287,50,-M- SIPHONIC STORM WATER DN
39432.58719,124256.822296,63,-M- SIPHONIC STORM WATER DN
42094.765337,124256.822296,50,-M- SIPHONIC STORM WATER DN
29811.636122,124256.822296,63,-M- SIPHONIC STORM WATER DN
19100.594945,119061.773652,50,-M- SIPHONIC STORM WATER DN
22595.013566,124256.822296,90,-M- SIPHONIC STORM WATER DN
14351.0235,124256.822296,90,-M- SIPHONIC STORM WATER DN
10068.885885,125075.1,50,-M- SIPHONIC STORM WATER DN
10068.885885,124600.366566,63,-M- SIPHONIC STORM WATER DN
8969.293199,124256.822296,110,-M- SIPHONIC STORM WATER DN
4894.996181,124256.822296,110,-M- SIPHONIC STORM WATER DN
1976.605058,120516.013335,110,-M- SIPHONIC STORM WATER DN
2909.292644,117293.387848,90,-M- SIPHONIC STORM WATER DN
2586.536454,117293.387848,110,-M- SIPHONIC STORM WATER DN
80575.111095,130690.0,56,-M- SIPHONIC STORM WATER DN
80176.620365,126977.712407,56,-M- SIPHONIC STORM WATER DN
80572.633058,118401.666075,56,-M- SIPHONIC STORM WATER DN
81051.882429,115090.0,56,-M- SIPHONIC STORM WATER DN
83804.42247,122228.335733,90,-M- SIPHONIC STORM WATER DN
91236.159665,122228.335733,90,-M- SIPHONIC STORM WATER DN
98406.47082,122228.335733,125,-M- SIPHONIC STORM WATER DN
93930.355835,122228.335733,90,-M- SIPHONIC STORM WATER DN
105781.970577,122228.335733,125,-M- SIPHONIC STORM WATER DN
103104.616265,127675.423849,50,-M- SIPHONIC STORM WATER DN
107871.410692,122228.335733,125,-M- SIPHONIC STORM WATER DN
109096.192672,122228.335733,125,-M- SIPHONIC STORM WATER DN
113752.322126,122228.335733,125,-M- SIPHONIC STORM WATER DN
116967.070917,125670.324615,125,-M- SIPHONIC STORM WATER DN
115924.207136,129112.313496,90,-M- SIPHONIC STORM WATER DN
116149.337807,129112.313496,125,-M- SIPHONIC STORM WATER DN
